index,lastName,givenName,year,location,citation,acmFellowProfile,dblpProfile,googleScholarProfile,affiliation,acmInterests,authorID,citation_histogram,citations,coauthors,hindex,i10index,imageLink,interests
193,Abadi,Daniel J,2020,USA,"For contributions to distributed databases, column-store databases, deterministic databases, graph databases, and stream databases",https://awards.acm.org/award-recipients/abadi_6455095,https://dblp.org/pid/a/DJAbadi,https://scholar.google.com/citations?user=zxeEF2gAAAAJ,"Darnell-Kanal Professor of Computer Science, University of Maryland College Park",Database Systems,zxeEF2gAAAAJ,"[('2003', '75'), ('2004', '187'), ('2005', '305'), ('2006', '405'), ('2007', '484'), ('2008', '631'), ('2009', '845'), ('2010', '1245'), ('2011', '1466'), ('2012', '1648'), ('2013', '1914'), ('2014', '2155'), ('2015', '2041'), ('2016', '1954'), ('2017', '1688'), ('2018', '1756'), ('2019', '1437'), ('2020', '1334'), ('2021', '1183'), ('2022', '1031'), ('2023', '781')]",25075.0,,54.0,71.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=zxeEF2gAAAAJ&citpid=4,['Database Systems']
194,Kotz,David,2020,USA,"For contributions to the security, privacy, and usability of mobile systems",https://awards.acm.org/award-recipients/kotz_3177011,https://dblp.org/pid/k/DavidKotz,https://scholar.google.com/citations?user=s5QkqdcAAAAJ,Dartmouth College,security and privacy for IoT mobile health and wireless networks,s5QkqdcAAAAJ,"[('1994', '67'), ('1995', '168'), ('1996', '378'), ('1997', '270'), ('1998', '301'), ('1999', '292'), ('2000', '396'), ('2001', '412'), ('2002', '595'), ('2003', '701'), ('2004', '824'), ('2005', '1051'), ('2006', '1136'), ('2007', '1109'), ('2008', '1080'), ('2009', '1201'), ('2010', '1329'), ('2011', '1128'), ('2012', '1266'), ('2013', '1112'), ('2014', '1192'), ('2015', '1085'), ('2016', '1032'), ('2017', '884'), ('2018', '891'), ('2019', '837'), ('2020', '726'), ('2021', '865'), ('2022', '815'), ('2023', '519')]",24209.0,,77.0,213.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=s5QkqdcAAAAJ&citpid=1,"['security and privacy for IoT', 'mobile health', 'and wireless networks']"
195,Troyanskaya,Olga,2020,USA,"For contributions to computational biology, data integration and deep learning applications for genome interpretation",https://awards.acm.org/award-recipients/troyanskaya_6455940,https://dblp.org/pid/09/2486,https://scholar.google.com/citations?user=PjCDBjIAAAAJ,"Princeton University and Flatiron Institute, Simons Foundation",bioinformatics genomics machine learning computational biology,PjCDBjIAAAAJ,"[('2002', '112'), ('2003', '220'), ('2004', '455'), ('2005', '568'), ('2006', '676'), ('2007', '772'), ('2008', '1015'), ('2009', '1010'), ('2010', '1227'), ('2011', '1346'), ('2012', '1355'), ('2013', '1390'), ('2014', '1327'), ('2015', '1366'), ('2016', '1551'), ('2017', '1540'), ('2018', '1780'), ('2019', '2018'), ('2020', '2214'), ('2021', '2748'), ('2022', '2863'), ('2023', '1995')]",29802.0,,71.0,148.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=PjCDBjIAAAAJ&citpid=3,"['bioinformatics', 'genomics', 'machine learning', 'computational biology']"
196,Nagpal,Radhika,2020,USA,"For contributions to collective intelligence,  including self-organizing systems and swarm robotics",https://awards.acm.org/award-recipients/nagpal_4930808,https://dblp.org/pid/84/5637,https://scholar.google.com/citations?user=a3ZGDsoAAAAJ,Harvard University,Artificial Intelligence Robotics Bio-inspired Computing Systems Biology,a3ZGDsoAAAAJ,"[('2001', '49'), ('2002', '84'), ('2003', '105'), ('2004', '179'), ('2005', '184'), ('2006', '251'), ('2007', '314'), ('2008', '375'), ('2009', '383'), ('2010', '388'), ('2011', '493'), ('2012', '504'), ('2013', '477'), ('2014', '646'), ('2015', '762'), ('2016', '837'), ('2017', '919'), ('2018', '989'), ('2019', '1068'), ('2020', '952'), ('2021', '944'), ('2022', '977'), ('2023', '749')]",12846.0,,53.0,109.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=a3ZGDsoAAAAJ&citpid=1,"['Artificial Intelligence', 'Robotics', 'Bio-inspired Computing', 'Systems Biology']"
197,Canetti,Ran,2020,USA,For  contributions to cryptography and computer security,https://awards.acm.org/award-recipients/canetti_4338863,https://dblp.org/pid/c/RanCanetti,https://scholar.google.com/citations?user=-PWcE1YAAAAJ,"Professor of Computer Science, Boston University",computer science,-PWcE1YAAAAJ,"[('1997', '127'), ('1998', '192'), ('1999', '352'), ('2000', '482'), ('2001', '566'), ('2002', '693'), ('2003', '1135'), ('2004', '1312'), ('2005', '1721'), ('2006', '1993'), ('2007', '1963'), ('2008', '1996'), ('2009', '2124'), ('2010', '2147'), ('2011', '1930'), ('2012', '1967'), ('2013', '2178'), ('2014', '2303'), ('2015', '2266'), ('2016', '2323'), ('2017', '2135'), ('2018', '2109'), ('2019', '2169'), ('2020', '2456'), ('2021', '2306'), ('2022', '2548'), ('2023', '1843')]",45990.0,,86.0,201.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-PWcE1YAAAAJ&citpid=2,['computer science']
198,Kumar,Ravi,2020,USA,"For contributions to web science modeling, analytics, and algorithms",https://awards.acm.org/award-recipients/kumar_2505048,https://dblp.org/pid/183/6742,https://scholar.google.com/citations?user=J_XhIsgAAAAJ,Google,Algorithms for massive data ML/privacy Theory of computation.,J_XhIsgAAAAJ,"[('1999', '161'), ('2000', '327'), ('2001', '548'), ('2002', '798'), ('2003', '1040'), ('2004', '1293'), ('2005', '1614'), ('2006', '1723'), ('2007', '2110'), ('2008', '2290'), ('2009', '2436'), ('2010', '2895'), ('2011', '2968'), ('2012', '3078'), ('2013', '3134'), ('2014', '3320'), ('2015', '3070'), ('2016', '3043'), ('2017', '2638'), ('2018', '2673'), ('2019', '2442'), ('2020', '2318'), ('2021', '2297'), ('2022', '2351'), ('2023', '1792')]",53242.0,,89.0,224.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=J_XhIsgAAAAJ&citpid=2,"['Algorithms for massive data', 'ML/privacy', 'Theory of computation.']"
199,Arpaci-Dusseau,Remzi,2020,USA,For contributions to storage and computer systems,https://awards.acm.org/award-recipients/arpaci-dusseau_4247391,https://dblp.org/pid/a/RemziHArpaciDusseau,https://scholar.google.com/citations?user=C1skWKgAAAAJ,University of Wisconsin-Madison,Operating Systems,C1skWKgAAAAJ,"[('1994', '64'), ('1995', '133'), ('1996', '233'), ('1997', '299'), ('1998', '351'), ('1999', '370'), ('2000', '311'), ('2001', '216'), ('2002', '268'), ('2003', '261'), ('2004', '338'), ('2005', '416'), ('2006', '346'), ('2007', '456'), ('2008', '450'), ('2009', '456'), ('2010', '477'), ('2011', '556'), ('2012', '495'), ('2013', '517'), ('2014', '615'), ('2015', '609'), ('2016', '772'), ('2017', '800'), ('2018', '888'), ('2019', '995'), ('2020', '1131'), ('2021', '1030'), ('2022', '983'), ('2023', '720')]",15911.0,,65.0,137.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=C1skWKgAAAAJ&citpid=2,['Operating Systems']
200,Stevens,Rick,2020,USA,"For contributions in high-performance computing systems, collaborative environments, and tools for large-scale science initiatives",https://awards.acm.org/award-recipients/stevens_4742631,https://dblp.org/pid/s/RickLStevens,https://scholar.google.com/citations?user=2oSSsLYAAAAJ,"Professor of Computer Science, University of Chicago",HPC Bioinformatics Distributed Computing Visualization Collaboration,2oSSsLYAAAAJ,"[('2001', '116'), ('2002', '147'), ('2003', '138'), ('2004', '194'), ('2005', '257'), ('2006', '270'), ('2007', '391'), ('2008', '399'), ('2009', '549'), ('2010', '709'), ('2011', '981'), ('2012', '1608'), ('2013', '1656'), ('2014', '2097'), ('2015', '2534'), ('2016', '3048'), ('2017', '3262'), ('2018', '3151'), ('2019', '3547'), ('2020', '4066'), ('2021', '4587'), ('2022', '4414'), ('2023', '3329')]",42766.0,,65.0,157.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2oSSsLYAAAAJ&citpid=2,"['HPC', 'Bioinformatics', 'Distributed Computing', 'Visualization', 'Collaboration']"
201,Noh,Sam H.,2020,Republic of Korea,"For contributions to storage system software, including flash and byte-addressable non-volatile memory",https://awards.acm.org/award-recipients/noh_4617189,https://dblp.org/pid/81/970,https://scholar.google.com/citations?user=i5lr8uEAAAAJ,"Professor of Computer Science, Virginia Tech",Systems Software Operating Systems File Systems Storage Systems,i5lr8uEAAAAJ,"[('2000', '28'), ('2001', '34'), ('2002', '67'), ('2003', '77'), ('2004', '115'), ('2005', '138'), ('2006', '161'), ('2007', '166'), ('2008', '195'), ('2009', '322'), ('2010', '348'), ('2011', '289'), ('2012', '299'), ('2013', '348'), ('2014', '376'), ('2015', '416'), ('2016', '399'), ('2017', '401'), ('2018', '400'), ('2019', '413'), ('2020', '465'), ('2021', '490'), ('2022', '420'), ('2023', '265')]",6775.0,,37.0,70.0,/citations/images/avatar_scholar_128.png,"['Systems Software', 'Operating Systems', 'File Systems', 'Storage Systems']"
202,Madden,Samuel,2020,USA,For contributions to data management and sensor computing systems,https://awards.acm.org/award-recipients/madden_2510659,https://dblp.org/pid/m/SamuelMadden,https://scholar.google.com/citations?user=a1ngrCIAAAAJ,MIT,Computer Systems Database Systems Data Management Mobile Computing Distributed Systems,a1ngrCIAAAAJ,"[('2002', '161'), ('2003', '512'), ('2004', '967'), ('2005', '1461'), ('2006', '1866'), ('2007', '2112'), ('2008', '2530'), ('2009', '2862'), ('2010', '3324'), ('2011', '3426'), ('2012', '3538'), ('2013', '4058'), ('2014', '4360'), ('2015', '4499'), ('2016', '4314'), ('2017', '4063'), ('2018', '4094'), ('2019', '3568'), ('2020', '3371'), ('2021', '3177'), ('2022', '2850'), ('2023', '2061')]",64379.0,,111.0,264.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=a1ngrCIAAAAJ&citpid=2,"['Computer Systems', 'Database Systems', 'Data Management', 'Mobile Computing', 'Distributed Systems']"
203,Ghemawat,Sanjay,2020,USA,For contributions to distributed systems design,https://awards.acm.org/award-recipients/ghemawat_1482280,https://dblp.org/pid/g/SGhemawat,https://scholar.google.com/citations?user=0KF6ZC8AAAAJ,Google,Distributed systems Profiling tools Memory management Storage systems,0KF6ZC8AAAAJ,"[('2004', '301'), ('2005', '411'), ('2006', '467'), ('2007', '605'), ('2008', '1020'), ('2009', '1807'), ('2010', '2945'), ('2011', '3766'), ('2012', '4430'), ('2013', '5745'), ('2014', '6347'), ('2015', '6717'), ('2016', '6736'), ('2017', '7898'), ('2018', '10578'), ('2019', '12045'), ('2020', '12092'), ('2021', '12189'), ('2022', '11179'), ('2023', '8253')]",118374.0,,53.0,99.0,/citations/images/avatar_scholar_128.png,"['Distributed systems', 'Profiling tools', 'Memory management', 'Storage systems']"
205,Mahlke,Scott,2020,USA,"For contributions in compiler code generation for instruction level parallelism, and customized microprocessor architectures",https://awards.acm.org/award-recipients/mahlke_4550588,https://dblp.org/pid/m/SAMahlke,https://scholar.google.com/citations?user=-XpZ4fgAAAAJ,"Professor, Electrical Engineering and Computer Science Dept., University of Michigan",Computer Architecture Compilers,-XpZ4fgAAAAJ,"[('1992', '51'), ('1993', '128'), ('1994', '140'), ('1995', '219'), ('1996', '244'), ('1997', '259'), ('1998', '306'), ('1999', '297'), ('2000', '362'), ('2001', '326'), ('2002', '336'), ('2003', '365'), ('2004', '396'), ('2005', '476'), ('2006', '475'), ('2007', '547'), ('2008', '585'), ('2009', '686'), ('2010', '780'), ('2011', '966'), ('2012', '877'), ('2013', '1112'), ('2014', '1082'), ('2015', '1161'), ('2016', '1190'), ('2017', '972'), ('2018', '1134'), ('2019', '1047'), ('2020', '962'), ('2021', '897'), ('2022', '724'), ('2023', '428')]",19952.0,,76.0,227.0,/citations/images/avatar_scholar_128.png,"['Computer Architecture', 'Compilers']"
206,Panchanathan,Sethuraman,2020,USA,"For contributions to multimedia technologies and leadership in the scientific community
",https://awards.acm.org/award-recipients/panchanathan_4753208,https://dblp.org/pid/31/6591,https://scholar.google.com/citations?user=GKTKZ8kAAAAJ,"Professor of Computer Science and Engineering, Arizona State University",Multimedia image compression haptic interfaces assistive technologies compressed domain indexing,GKTKZ8kAAAAJ,"[('1995', '40'), ('1996', '56'), ('1997', '81'), ('1998', '125'), ('1999', '165'), ('2000', '188'), ('2001', '202'), ('2002', '230'), ('2003', '266'), ('2004', '246'), ('2005', '269'), ('2006', '295'), ('2007', '269'), ('2008', '353'), ('2009', '339'), ('2010', '384'), ('2011', '397'), ('2012', '444'), ('2013', '423'), ('2014', '529'), ('2015', '451'), ('2016', '471'), ('2017', '480'), ('2018', '538'), ('2019', '632'), ('2020', '779'), ('2021', '923'), ('2022', '972'), ('2023', '875')]",11626.0,,49.0,178.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GKTKZ8kAAAAJ&citpid=3,"['Multimedia', 'image compression', 'haptic interfaces', 'assistive technologies', 'compressed domain indexing']"
207,Yan,Shuicheng,2020,Singapore,For contributions to visual content understanding techniques and applications,https://awards.acm.org/award-recipients/yan_2615226,https://dblp.org/pid/y/ShuichengYan,https://scholar.google.com/citations?user=DNuiPHwAAAAJ,"BAAI (non-profit), previously Sea AI Lab",Multimedia Computer Vision Machine Learning Fashion Recommendation,DNuiPHwAAAAJ,"[('2006', '332'), ('2007', '470'), ('2008', '850'), ('2009', '1126'), ('2010', '1753'), ('2011', '2190'), ('2012', '2726'), ('2013', '3576'), ('2014', '4410'), ('2015', '5407'), ('2016', '6487'), ('2017', '7601'), ('2018', '8925'), ('2019', '10159'), ('2020', '10205'), ('2021', '11142'), ('2022', '11080'), ('2023', '8969')]",99309.0,,142.0,773.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DNuiPHwAAAAJ&citpid=10,"['Multimedia', 'Computer Vision', 'Machine Learning', 'Fashion Recommendation']"
208,Aluru,Srinivas,2020,USA,For contributions to parallel methods in computational biology and leadership in data science,https://awards.acm.org/award-recipients/aluru_4009189,https://dblp.org/pid/a/SAluru,https://scholar.google.com/citations?user=YOGOScoAAAAJ,"Professor and Executive Director of Institute for Data Engineering and Science, Georgia …",Data Science High performance Computing Computational Biology Combinatorial Scientific Computing,YOGOScoAAAAJ,"[('2003', '43'), ('2004', '97'), ('2005', '159'), ('2006', '218'), ('2007', '229'), ('2008', '306'), ('2009', '348'), ('2010', '460'), ('2011', '579'), ('2012', '698'), ('2013', '793'), ('2014', '846'), ('2015', '847'), ('2016', '805'), ('2017', '786'), ('2018', '771'), ('2019', '892'), ('2020', '1104'), ('2021', '1366'), ('2022', '1673'), ('2023', '1526')]",14898.0,,46.0,115.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=YOGOScoAAAAJ&citpid=3,"['Data Science', 'High performance Computing', 'Computational Biology', 'Combinatorial Scientific Computing']"
209,Gribble,Steven,2020,USA,"For contributions to virtualization technology across clusters, servers, and networks",https://awards.acm.org/award-recipients/gribble_5105697,https://dblp.org/pid/g/StevenDGribble,https://scholar.google.com/citations?user=7CohtIMAAAAJ,Distinguished software engineer at google,Networking Operating Systems Distributed Systems Systems Security,7CohtIMAAAAJ,"[('1997', '58'), ('1998', '148'), ('1999', '270'), ('2000', '303'), ('2001', '450'), ('2002', '616'), ('2003', '933'), ('2004', '1274'), ('2005', '1475'), ('2006', '1503'), ('2007', '1391'), ('2008', '1390'), ('2009', '1389'), ('2010', '1293'), ('2011', '1133'), ('2012', '953'), ('2013', '992'), ('2014', '900'), ('2015', '795'), ('2016', '749'), ('2017', '708'), ('2018', '555'), ('2019', '532'), ('2020', '505'), ('2021', '459'), ('2022', '389'), ('2023', '336')]",21952.0,,63.0,90.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=7CohtIMAAAAJ&citpid=3,"['Networking', 'Operating Systems', 'Distributed Systems', 'Systems Security']"
210,Low,Steven H.,2020,USA,For theoretical foundations and real-world deployment of Internet congestion control and smart grid optimization,https://awards.acm.org/award-recipients/low_1122456,https://dblp.org/pid/l/StevenHLow,https://scholar.google.com/citations?user=4BrebIYAAAAJ,"Gilloon Professor of Computing+Mathematical Sciences, Electrical Engineering, Caltech",computer networks networking power systems smart grid control,4BrebIYAAAAJ,"[('1998', '132'), ('1999', '155'), ('2000', '196'), ('2001', '314'), ('2002', '549'), ('2003', '833'), ('2004', '1254'), ('2005', '1406'), ('2006', '1734'), ('2007', '1656'), ('2008', '1728'), ('2009', '1683'), ('2010', '1684'), ('2011', '1576'), ('2012', '1737'), ('2013', '2011'), ('2014', '2292'), ('2015', '2361'), ('2016', '2471'), ('2017', '2703'), ('2018', '2623'), ('2019', '2905'), ('2020', '2833'), ('2021', '3028'), ('2022', '2996'), ('2023', '2126')]",45776.0,,94.0,261.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=4BrebIYAAAAJ&citpid=2,"['computer networks', 'networking', 'power systems', 'smart grid', 'control']"
211,Salzberg,Steven,2020,USA,"For contributions to computational biology, including software for DNA sequence analysis, alignment, and genome assembly",https://awards.acm.org/award-recipients/salzberg_3469343,https://dblp.org/pid/s/StevenSalzberg,https://scholar.google.com/citations?user=sUVeH-4AAAAJ,"Bloomberg Distinguished Professor, Johns Hopkins University",Computational Biology Genomics Genome assembly Bioinformatics Metagenomics,sUVeH-4AAAAJ,"[('2000', '1251'), ('2001', '3164'), ('2002', '4321'), ('2003', '5024'), ('2004', '5529'), ('2005', '5347'), ('2006', '5620'), ('2007', '5913'), ('2008', '5757'), ('2009', '6012'), ('2010', '6487'), ('2011', '7905'), ('2012', '9629'), ('2013', '11222'), ('2014', '13704'), ('2015', '15987'), ('2016', '18310'), ('2017', '20912'), ('2018', '22731'), ('2019', '26131'), ('2020', '28172'), ('2021', '31984'), ('2022', '32551'), ('2023', '25201')]",323295.0,,159.0,333.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=sUVeH-4AAAAJ&citpid=2,"['Computational Biology', 'Genomics', 'Bioinformatics', 'Metagenomics', 'Biomedical Data Science']"
213,Koenig,Sven,2020,USA,"For contributions to artificial intelligence, including heuristic search and multi-agent coordination",https://awards.acm.org/award-recipients/koenig_3810207,https://dblp.org/pid/142/0337,https://scholar.google.com/citations?user=tpoh43QAAAAJ,"Dean's Professor of Computer Science, University of Southern California",Heuristic Search Automated Planning Autonomous Systems Intelligent Agents Artificial Intelligence,tpoh43QAAAAJ,"[('1996', '74'), ('1997', '105'), ('1998', '158'), ('1999', '159'), ('2000', '151'), ('2001', '208'), ('2002', '226'), ('2003', '282'), ('2004', '267'), ('2005', '369'), ('2006', '439'), ('2007', '532'), ('2008', '598'), ('2009', '652'), ('2010', '708'), ('2011', '725'), ('2012', '742'), ('2013', '862'), ('2014', '782'), ('2015', '819'), ('2016', '912'), ('2017', '1068'), ('2018', '1180'), ('2019', '1360'), ('2020', '1530'), ('2021', '1991'), ('2022', '2212'), ('2023', '1828')]",21243.0,,72.0,213.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=tpoh43QAAAAJ&citpid=2,"['Heuristic Search', 'Automated Planning', 'Autonomous Systems', 'Intelligent Agents', 'Artificial Intelligence']"
214,Eiter,Thomas,2020,Austria,"For contributions to knowledge representation and reasoning, logic programming, and declarative problem solving",https://awards.acm.org/award-recipients/eiter_5151170,https://dblp.org/pid/e/TEiter,https://scholar.google.com/citations?user=X1L03cIAAAAJ,Vienna University of Technology (TU Wien),knowledge representation and reasoning declarative problem solving artificial intelligence computational logic,X1L03cIAAAAJ,"[('1994', '78'), ('1995', '77'), ('1996', '83'), ('1997', '202'), ('1998', '161'), ('1999', '260'), ('2000', '286'), ('2001', '386'), ('2002', '446'), ('2003', '568'), ('2004', '671'), ('2005', '748'), ('2006', '880'), ('2007', '1139'), ('2008', '1088'), ('2009', '918'), ('2010', '1055'), ('2011', '1101'), ('2012', '999'), ('2013', '1062'), ('2014', '1201'), ('2015', '1168'), ('2016', '1132'), ('2017', '1022'), ('2018', '1037'), ('2019', '1102'), ('2020', '969'), ('2021', '826'), ('2022', '892'), ('2023', '739')]",22747.0,,74.0,240.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=X1L03cIAAAAJ&citpid=3,"['knowledge representation and reasoning', 'declarative problem solving', 'artificial intelligence', 'computational logic']"
215,Walsh,Toby,2020,Australia,For contributions to artificial intelligence,https://awards.acm.org/award-recipients/walsh_1141540,https://dblp.org/pid/86/2576,https://scholar.google.com/citations?user=oOQ6x0IAAAAJ,"Professor, UNSW and CSIRO Data61",AI Constraints Satisfiability Optimisation Computational Social Choice,oOQ6x0IAAAAJ,"[('1994', '82'), ('1995', '106'), ('1996', '187'), ('1997', '178'), ('1998', '160'), ('1999', '244'), ('2000', '269'), ('2001', '321'), ('2002', '325'), ('2003', '478'), ('2004', '572'), ('2005', '606'), ('2006', '676'), ('2007', '769'), ('2008', '811'), ('2009', '897'), ('2010', '968'), ('2011', '1313'), ('2012', '1159'), ('2013', '1239'), ('2014', '1359'), ('2015', '1324'), ('2016', '1442'), ('2017', '1437'), ('2018', '1368'), ('2019', '1378'), ('2020', '1515'), ('2021', '1493'), ('2022', '1606'), ('2023', '1390')]",26226.0,,76.0,307.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=oOQ6x0IAAAAJ&citpid=3,"['AI', 'Constraints', 'Satisfiability', 'Optimisation', 'Computational Social Choice']"
216,Markl,Volker,2020,Germany,"For contributions to query optimization, scalable data processing, and data programmability",https://awards.acm.org/award-recipients/markl_UK78103,https://dblp.org/pid/m/VMarkl,https://scholar.google.com/citations?user=el2k_oIAAAAJ,Technische Universität Berlin,Database Systems Large-scale Data Management Big Data Programming Models Query Processing,el2k_oIAAAAJ,"[('2002', '75'), ('2003', '97'), ('2004', '120'), ('2005', '132'), ('2006', '133'), ('2007', '155'), ('2008', '224'), ('2009', '326'), ('2010', '276'), ('2011', '322'), ('2012', '363'), ('2013', '432'), ('2014', '507'), ('2015', '624'), ('2016', '777'), ('2017', '834'), ('2018', '1051'), ('2019', '1029'), ('2020', '1303'), ('2021', '1361'), ('2022', '1324'), ('2023', '1050')]",12791.0,,57.0,172.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=el2k_oIAAAAJ&citpid=4,"['Database Systems', 'Large-scale Data Management', 'Big Data', 'Programming Models', 'Query Processing']"
217,Yi,Wang,2020,Sweden,For contributions to the automated analysis and verification of real-time systems,https://awards.acm.org/award-recipients/yi_8982226,https://dblp.org/pid/00/555,https://scholar.google.com/citations?user=Uv7TfEgAAAAJ,,,Uv7TfEgAAAAJ,"[('1997', '162'), ('1998', '333'), ('1999', '645'), ('2000', '770'), ('2001', '969'), ('2002', '1046'), ('2003', '1051'), ('2004', '1201'), ('2005', '1132'), ('2006', '1202'), ('2007', '1261'), ('2008', '1433'), ('2009', '1668'), ('2010', '1901'), ('2011', '2100'), ('2012', '2310'), ('2013', '3008'), ('2014', '3220'), ('2015', '3342'), ('2016', '3694'), ('2017', '3697'), ('2018', '3668'), ('2019', '3706'), ('2020', '3866'), ('2021', '4211'), ('2022', '3999'), ('2023', '3021')]",59067.0,,94.0,170.0,/citations/images/avatar_scholar_128.png,[]
218,Wang,Wei,2020,USA,For contributions to the foundation and practice of data mining,https://awards.acm.org/award-recipients/wang_7192664,https://dblp.org/pid/47/1798,https://scholar.google.com/citations?user=JFrpRBIAAAAJ,"University of California, Riverside",Energy storage energy conversion supercapacitors lithium ion batteries nanotechnology,JFrpRBIAAAAJ,,,,,,,[]
220,LI,Xuelong,2020,China,For contributions to computing on and learning from higher-order data,https://awards.acm.org/award-recipients/li_3165359,https://dblp.org/pid/329/9191,https://scholar.google.com/citations?user=ahUibskAAAAJ,"Professor, Northwestern Polytechnical University, China",image/signal processing imaging applied maths/physics,ahUibskAAAAJ,"[('2008', '403'), ('2009', '671'), ('2010', '868'), ('2011', '969'), ('2012', '1127'), ('2013', '1848'), ('2014', '2261'), ('2015', '3296'), ('2016', '4436'), ('2017', '4891'), ('2018', '6062'), ('2019', '7307'), ('2020', '7953'), ('2021', '8817'), ('2022', '9217'), ('2023', '7313')]",68127.0,,131.0,737.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ahUibskAAAAJ&citpid=3,"['image/signal processing', 'imaging', 'applied maths/physics']"
221,Chen,Yiran,2020,USA,For contributions to nonvolatile memory technologies,https://awards.acm.org/award-recipients/chen_9508444,https://dblp.org/pid/334/1302,https://scholar.google.com/citations?user=3G-nnjMAAAAJ,"Professor, Electrical and Computer Engineering, Duke University",Memory neuromorphic machine learning acceleration federated learning,3G-nnjMAAAAJ,"[('2009', '87'), ('2010', '191'), ('2011', '283'), ('2012', '425'), ('2013', '590'), ('2014', '852'), ('2015', '1159'), ('2016', '1430'), ('2017', '1784'), ('2018', '1977'), ('2019', '2639'), ('2020', '3607'), ('2021', '4027'), ('2022', '4449'), ('2023', '3580')]",27455.0,,81.0,375.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=3G-nnjMAAAAJ&citpid=3,"['Memory', 'neuromorphic', 'machine learning acceleration', 'federated learning']"
222,Tao,Yufei,2020,Hong Kong,For contributions to algorithms for large scale data processing,https://awards.acm.org/award-recipients/tao_0950279,https://dblp.org/pid/t/YufeiTao,https://scholar.google.com/citations?user=3FmJBHkAAAAJ,Chinese University of Hong Kong,Small-and-Sweet Algorithms,3FmJBHkAAAAJ,"[('2002', '71'), ('2003', '169'), ('2004', '271'), ('2005', '539'), ('2006', '762'), ('2007', '820'), ('2008', '1097'), ('2009', '1383'), ('2010', '1535'), ('2011', '1339'), ('2012', '1420'), ('2013', '1499'), ('2014', '1442'), ('2015', '1517'), ('2016', '1322'), ('2017', '1244'), ('2018', '1047'), ('2019', '975'), ('2020', '894'), ('2021', '784'), ('2022', '731'), ('2023', '494')]",21681.0,,70.0,134.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=3FmJBHkAAAAJ&citpid=1,['Small-and-Sweet Algorithms']
223,Van Der Aalst,Wil,2020,Germany,"For contributions to process mining, process management, and data science",https://awards.acm.org/award-recipients/vanderaalst_5194599,https://dblp.org/pid/a/WilMPvanderAalst,https://scholar.google.com/citations?hl=en&user=aSZYyxIAAAAJ,,[],aSZYyxIAAAAJ,"[('2001', '433'), ('2002', '818'), ('2003', '1226'), ('2004', '1796'), ('2005', '2637'), ('2006', '3559'), ('2007', '4505'), ('2008', '5233'), ('2009', '6128'), ('2010', '6160'), ('2011', '6849'), ('2012', '8563'), ('2013', '7638'), ('2014', '7410'), ('2015', '8098'), ('2016', '8164'), ('2017', '7493'), ('2018', '8966'), ('2019', '8046'), ('2020', '7818'), ('2021', '8264'), ('2022', '8787'), ('2023', '6488')]",139315.0,,176.0,955.0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=aSZYyxIAAAAJ&citpid=2,"['Business Process Management', 'Data Science', 'Process Mining', 'Petri nets', 'Information Systems']"
226,Cachin,Christian,2019,Switzerland,For contributions to secure distributed computing and cryptographic protocols,https://awards.acm.org/award-recipients/cachin_4033205,https://dblp.org/pid/c/ChristianCachin,https://scholar.google.com/citations?user=c8zferMAAAAJ,"University of Bern, Cryptology and Data Security Group",cryptography distributed systems security,c8zferMAAAAJ,"[('1999', '59'), ('2000', '76'), ('2001', '140'), ('2002', '183'), ('2003', '271'), ('2004', '348'), ('2005', '379'), ('2006', '377'), ('2007', '381'), ('2008', '369'), ('2009', '415'), ('2010', '478'), ('2011', '444'), ('2012', '495'), ('2013', '537'), ('2014', '567'), ('2015', '472'), ('2016', '562'), ('2017', '624'), ('2018', '1080'), ('2019', '1725'), ('2020', '2019'), ('2021', '2147'), ('2022', '2143'), ('2023', '1488')]",18065.0,,51.0,100.0,/citations/images/avatar_scholar_128.png,"['cryptography', 'distributed systems', 'security']"
